Conf_Decision Tree,Margin_Decision Tree,Conf_Random Forest,Margin_Random Forest,Conf_SVM,Margin_SVM,Conf_Naive Bayes,Margin_Naive Bayes,Target_Model_Index,Target_Model_Name
1.0,1.0,1.0,1.0,0.996524135395752,0.9930482707915039,0.99999106736402,0.9999821347280397,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999547251542019,0.999909450308404,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9997461255580564,0.9994922511161127,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999292705710917,0.9998585411421834,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9998432387022552,0.9996864774045104,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9983376378427693,0.9966752756855387,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999206557094253,0.9998413114188507,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999164726222004,0.9998329452444009,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999615118288658,0.9999230236577316,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9997643511683476,0.9995287023366953,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999329022767963,0.9998658045535925,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9997775364808391,0.9995550729616782,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9998615319444949,0.9997230638889899,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999281764165907,0.9998563528331813,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999629460346141,0.9999258920692282,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9998603526316374,0.9997207052632748,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.999844661791834,0.9996893235836678,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999499145663102,0.9998998291326204,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999469011476892,0.9998938022953786,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999269486526253,0.9998538973052506,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9995255205794416,0.9990510411588831,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9957991218264437,0.9915982436528873,0.9999261191398405,0.9998522382796802,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999238036713786,0.999847607342757,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999260461985389,0.9998520923970778,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9995066540924321,0.9990133081848643,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9997897795994769,0.9995795591989537,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9866072190051022,0.9732144380102042,0.99999980935497,0.9999996187099397,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999276668143794,0.9998553336287589,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9998882540781407,0.9997765081562816,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999481137265743,0.9998962274531487,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999171175139067,0.9998342350278133,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.999762963504734,0.9995259270094681,1.0,1.0,0,Decision Tree
1.0,1.0,0.99,0.98,0.9597004142817863,0.9194008285635725,0.9999999997776463,0.9999999995552926,0,Decision Tree
1.0,1.0,1.0,1.0,0.999914804433381,0.999829608866762,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.999939189585723,0.9998783791714461,1.0,1.0,0,Decision Tree
1.0,1.0,0.91,0.8200000000000001,0.9445078318426672,0.8890156636853345,0.9969206950264367,0.993841390052873,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999313099664283,0.9998626199328565,1.0,1.0,0,Decision Tree
